City,Country,Date,PM2.5,PM10,NO2,SO2,CO,O3,Dust,AQI,US_AQI,Temperature_C,Humidity_Pct,Pressure_hPa,Wind_Speed_kmh,Wind_Dir_Deg,Precipitation_mm,AQI_Bucket
Bengaluru,India,2022-08-04,8.875,12.700000000000001,15.183333333333335,3.9791666666666665,0.258625,44.083333333333336,0.0,69.62,,21.566666666666666,89.79166666666667,906.5124999999999,12.095833333333333,269.4166666666667,23.7,Satisfactory
Bengaluru,India,2022-08-05,4.2625,6.095833333333334,10.0875,1.9916666666666665,0.16633333333333333,37.416666666666664,0.0,47.0,49.0,20.825,90.41666666666667,907.0375,23.175,248.33333333333334,17.9,Good
Bengaluru,India,2022-08-06,5.0375000000000005,7.2,10.825000000000001,1.925,0.17308333333333334,38.125,0.0,47.0,28.0,21.59166666666667,86.875,906.6750000000001,21.833333333333332,256.0833333333333,5.4,Good
Bengaluru,India,2022-08-07,5.391666666666667,7.741666666666667,11.379166666666668,2.0749999999999997,0.17516666666666666,37.375,0.08333333333333333,46.0,30.0,21.5125,87.66666666666667,906.1,21.704166666666666,255.04166666666666,5.0,Good
Bengaluru,India,2022-08-08,4.0375000000000005,5.941666666666666,6.770833333333333,1.9749999999999999,0.14366666666666666,43.666666666666664,0.5416666666666666,56.88,30.0,22.03333333333333,82.70833333333333,905.9333333333334,24.84166666666667,250.5,3.7,Satisfactory
Bengaluru,India,2022-08-09,4.583333333333333,7.0,6.404166666666666,2.1333333333333333,0.148,44.458333333333336,0.7083333333333334,62.76,26.0,22.241666666666664,77.33333333333333,906.2375000000001,25.537499999999998,248.75,0.9,Satisfactory
Bengaluru,India,2022-08-10,5.7625,9.141666666666667,6.2250000000000005,2.029166666666667,0.1485,43.25,2.25,62.76,32.0,22.204166666666666,77.125,906.4708333333333,25.462500000000002,249.79166666666666,2.5,Satisfactory
Bengaluru,India,2022-08-11,4.633333333333334,6.983333333333333,6.4750000000000005,2.0875,0.13995833333333332,37.5,0.9166666666666666,60.8,32.0,22.65416666666667,77.41666666666667,908.2333333333332,23.1875,254.875,1.7,Satisfactory
Bengaluru,India,2022-08-12,6.1375,9.0875,9.15,2.283333333333333,0.16170833333333334,34.041666666666664,0.5833333333333334,60.8,34.0,22.662499999999998,77.66666666666667,909.4083333333333,19.704166666666666,260.7916666666667,1.1,Satisfactory
Bengaluru,India,2022-08-13,7.145833333333333,10.825000000000001,7.979166666666667,2.404166666666667,0.15945833333333334,38.125,1.75,60.8,39.0,22.46666666666667,76.54166666666667,909.5375,17.541666666666668,266.5416666666667,0.4,Satisfactory
